Ref,Val,Package,PosX (mm),PosY (mm),Rot,Side
U25,LTC2630ISC6-HZ12#TRMPBF,SOT-363_SC-70-6_Handsoldering,161.845951,-114.5,-90,top
U26,SN74LVC1G3157DCKR,SOT-363_SC-70-6_Handsoldering,168,-114.5,-90,top
U27,AD633ARZ-R7,R_8_ADI,175.345951,-113,90,top
U28,LTC2630ISC6-HZ12#TRMPBF,SOT-363_SC-70-6_Handsoldering,141.845951,-130.5,-90,top
U29,SN74LVC1G3157DCKR,SOT-363_SC-70-6_Handsoldering,148,-130.5,-90,top
U30,AD633ARZ-R7,R_8_ADI,155.345951,-129,90,top
U31,LTC2630ISC6-HZ12#TRMPBF,SOT-363_SC-70-6_Handsoldering,161.845951,-130.5,-90,top
U32,SN74LVC1G3157DCKR,SOT-363_SC-70-6_Handsoldering,168,-130.5,-90,top
U33,AD633ARZ-R7,R_8_ADI,175.345951,-129,90,top
U34,LTC2353ILX-16#PBF,LQFP-48_7x7mm_P0.5mm,189,-122,0,top
